deck,team,tier,copies,card_name,category,realm,color,phase,cost,attack_value,defense_value,game_text,flavor_text,learning_note,rarity,status
Hacktivist Attack,Red Team,Hacktivist,1,Network Scan,Attack,Network,Black,Recon,1,1,,Reveal up to 2 Blue Team Assets. If Gateway or SCADA Web Interface is revealed draw 1 card.,Port scanning helps attackers identify exposed services and reachable systems.,Reconnaissance gives attackers context for choosing targets and attack paths.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Public Info Gathering,Attack,Internet,Blue,Recon,1,1,,Look at Blue Team's hand. Choose one Asset card from it. Blue Team reveals that card until it is played or discarded.,Public clues become private pressure.,Public information can help attackers understand technology vendors staff and exposed systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Downloaded Exploit,Attack,Endpoint,Red,Weaponize/Exploit,2,3,,Deal 3 damage to one Asset. If Network Scan or Public Info Gathering was played this turn deal +1 damage.,Low-skill attackers can cause real impact when public exploit code matches exposed systems.,Public exploit code can turn known weaknesses into practical attacks.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Pre Built Malware Package,Attack,Endpoint,Red,Weaponize/Install,2,2,,Attach to an Endpoint Asset. At the start of Red Team's turn that Asset takes 1 damage.,Commodity malware can create recurring impact when endpoint containment is delayed.,Pre-built malware lowers attacker skill requirements and can persist if not contained.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Phishing Campaign,Attack,Internet,Blue,Delivery,2,2,,Disable one Operator until Blue Team's next turn unless Blue Team discards 1 card.,The first click was human.,Phishing often targets staff access and can delay operational response.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Malicious Link,Attack,Internet,Blue,Delivery,1,2,,Deal 2 damage to Operator Laptop or SCADA Web Interface. If Phishing Campaign was played this game draw 1 card.,One link moved the incident forward.,Malicious links are common delivery methods for credential theft and malware.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Malicious Attachment,Attack,Endpoint,Red,Delivery/Install,1,2,,Deal 2 damage to Operator Laptop. If damaged you may play Pre Built Malware Package for 1 less this turn.,The file looked routine until it ran.,Attachments can deliver payloads that affect user workstations and operational access.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Vulnerability Exploit,Attack,Application,White/Grey,Exploit,2,3,,Deal 3 damage to SCADA Web Interface Gateway or RTU or PLC. Port Closure reduces this damage by 2.,The weakness was known before the attack.,Known vulnerabilities become dangerous when systems remain exposed or unpatched.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Credential Attack,Attack,Application,White/Grey,Exploit,2,3,,Deal 3 damage. MFA cancels this card's damage bonus and reduces damage by 1.,The account became the entry point.,Credential abuse is a common path into remote and operational systems.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Password Spray,Attack,Application,White/Grey,Exploit,2,2,,Deal 2 damage. If MFA is not active disable one Operator until Blue Team's next turn.,One weak password can slow a whole team.,Password spraying abuses weak or reused credentials across accounts.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Remote Access Tool,Tool,Endpoint,Red,Install/C2,3,2,,Attach to Operator Laptop or SCADA Web Interface after it is damaged. Red Team's next Network attack against that Asset costs 1 less.,Remote access turned damage into control.,Remote access malware or tooling can help attackers maintain access after initial compromise.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,C2 Communication,Asset,Infrastructure,Green,Command and Control,2,,3,"While active, Red Team may draw 1 card after playing an Install card. Destroy this Asset if Blue Team plays Deep Packet ICS Monitor.",The compromised system called home.,Command and control enables attackers to coordinate tools and continue operations.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Command Channel,Asset,Network,Black,Command and Control,2,,3,"Once per turn, reduce the cost of an Attack by 1 if Red Team has damaged an Asset this game.",Control turns access into pressure.,Command channels represent attacker coordination after initial access.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,2,Coordinated Phishing,Attack,Internet,Blue,Delivery,2,3,,Disable one Operator until Blue Team's next turn. If Malicious Link or Malicious Attachment was played this game draw 1 card.,The message looked like a community alert.,Coordinated phishing increases social pressure and can delay operational response.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Website Defacement,Attack,Application,White/Grey,Actions on Objectives,2,3,,Deal 2 damage to a public-facing Asset. If Public Info Gathering is in your discard pile Blue Team loses 1 SCP.,The homepage became the headline.,Defacement can create reputational impact and distract responders during an incident.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Public Data Leak,Attack,Application,White/Grey,Actions on Objectives,3,4,,If Billing Database Email Server or SCADA Web Interface is damaged Blue Team loses 2 SCP.,The leak turned operations into a public crisis.,Data exposure can create legal trust and operational consequences beyond system downtime.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Social Media Amplification,Tool,Internet,Blue,Actions on Objectives,1,0,,The next Actions on Objectives card costs 1 less. If Website Defacement is active Blue Team discards 1 card.,The crowd arrived before the facts.,Public pressure can complicate incident communications and response prioritization.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Protest Campaign,Event,Internet,Blue,Actions on Objectives,2,2,,For the next turn Blue Team Recover cards cost 1 additional resource unless SOC Analyst is active.,The campaign created noise around the outage.,Coordinated attention can overload communications and increase pressure on small security teams.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Credential Stuffing,Attack,Application,White/Grey,Exploit,2,3,,Deal 2 damage to an Asset with MFA inactive. If Password Spray is in your discard pile deal +1 damage.,Reused passwords made the campaign scalable.,Credential stuffing abuses password reuse and weak account protections across services.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,VPN Account Abuse,Attack,Network,Black,Exploit/Install,2,3,,Attach to Network Position. Network Attacks cost 1 less until Blue Team plays Password Reset or MFA.,The remote doorway stayed open.,Remote access accounts require MFA logging and fast revocation during suspected compromise.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Vendor Portal Access,Attack,Application,White/Grey,Exploit,2,2,,Deal 2 damage to Billing Database SCADA Web Interface or Engineering Workstation. If MFA is inactive draw 1 card.,The trusted portal became the shortcut.,Third-party and vendor portals can become access paths into sensitive environments.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Cloud Storage Leak,Attack,Cloud,Yellow,Actions on Objectives,2,3,,If Redundant Backup or Backup is active deal 2 damage to it. Blue Team discards 1 card.,The backup link was not private.,Cloud storage exposure can reveal operational files backups diagrams or sensitive data.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Exposed Admin Panel,Asset,Application,White/Grey,Exploit,1,,2,While active Credential Attack and Password Spray deal +1 damage against Application Assets.,The login page was never meant to be public.,Exposed administrative interfaces increase the risk of credential attacks and unauthorized access.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Leak Site,Asset,Internet,Blue,Actions on Objectives,1,,2,When Red Team plays Public Data Leak or Website Defacement Blue Team loses 1 additional SCP. Blue Team may remove this by playing Public Communications Plan.,The story had a place to spread.,Public leak infrastructure increases reputation pressure and incident communication demands.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Insider Tip,Event,Internet,Blue,Recon,1,1,,Reveal two Blue Team cards from hand. Choose one Asset revealed this way; the next Attack against it costs 1 less.,The post included just enough truth.,Publicly shared internal details can help attackers choose targets and timing.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Botnet-for-Hire,Tool,Internet,Blue,Delivery,2,3,,The next Internet Attack deals +2 damage but Red Team skips Recon next turn.,Cheap traffic made the attack loud.,Commodity services can add pressure but noisy activity is easier to detect and may be out of scope in real testing.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Cause-Driven Targeting,Event,Internet,Blue,Recon,0,1,,Look at Blue Team's active Assets. Choose one public-facing Asset; attacks against it cost 1 less this turn.,The cause picked the target before the tool did.,Hacktivist targeting often follows public narratives exposed brands and visible services.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Media Pressure,Event,Internet,Blue,Actions on Objectives,1,1,,If any Asset is damaged Blue Team must discard 1 card or lose 1 SCP.,The incident became a headline.,External pressure can force rushed decisions during cyber incidents.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Shared Paste,Tool,Internet,Blue,Recon,0,1,,Reveal the top 3 Blue Team cards. You may discard one Realm card revealed this way.,The paste had more context than expected.,Public pastes and shared screenshots can expose names systems credentials or operational clues.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Donation Drive,Realm,Internet,Blue,,0,0,,Provides 1 Internet resource. If used for Delivery or Actions on Objectives draw 1 card then discard 1 card.,The crowd funded the campaign.,Hacktivist groups may rely on public support attention and shared tooling rather than deep technical capability.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Volunteer Operator,Operator,Internet,Blue,Delivery,1,,2,Once per turn reduce the cost of a Delivery card by 1 if Red Team played Recon this turn.,Someone in the chat clicked first.,Volunteer participants can increase campaign volume without improving tradecraft.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Campaign Coordinator,Operator,Internet,Blue,Command and Control,2,,3,"Once per turn, after Red Team plays an Event, draw 1 card then discard 1 card.",The channel turned outrage into a plan.,Coordination turns loose activity into repeatable pressure against selected targets.,Common,Draft
Hacktivist Attack,Red Team,Hacktivist,1,Public Relations Crisis,Event,Internet,Blue,Actions on Objectives,3,4,,If Website Defacement Public Data Leak or Leak Site is active Blue Team loses 2 SCP. Otherwise Blue Team loses 1 SCP.,The technical incident became a trust incident.,Cyber incidents can become business and community crises even when physical operations recover.,Common,Draft
